start,end,text
0,4840," Hello everyone and welcome to yet another recreational programming session with"
4840,12360," Ahu Amista Azurzin. So, I found an interesting article some time ago. It's called The Ultimate"
12360,19820," Soul Linger Page or Why is My TCP Not Reliable? It's actually a very old article from 2009."
19820,26280," That's how freaking old it is. It's from a completely different age of programming,"
26280,32820," honestly. I think the programming culture in 2009 was completely different. I think by that time I"
32820,39660," was already programming. So, I studied in 2006, 7, 8, 9, like three or like two years, like I don't"
39660,48720," know for how long, but two, three years. Right. And I found this article as I was working on my"
48720,58020," web socket implementation in C3. Right. So, I actually was using TCP in a very naive way and"
58020,63900," because of that some of the test cases in a test suite that I was using to test my web socket"
63900,70380," implementation were not passing and I couldn't even understand why. Right. I had to go on a very deep"
70380,77100," rabbit hole troubleshooting and I discovered this specific article which actually explained a lot of"
77100,83460," things and helped me to actually fix some of the test cases. And in fact, this implementation passes"
83460,91080," all of the server test suite cases. So, it's pretty much production ready. The only problem with this"
91080,96440," implementation is that it's only synchronous. I'm going to eventually turn it into a synchronous"
96440,101000," implementation. Right. And once I do that, maybe I'm going to even do that on the stream, but it's going"
101000,105400," to be a separate topic. We're going to integrate it into our multiplayer game. Right. But that's"
105400,110360," for a little bit later. So, this article is very interesting. It actually demonstrates you that"
110360,118080," you kind of don't know TCP. If you ever worked with TCP sockets, if you do that for the first time,"
118080,123360," you're probably going to get it wrong for the first time. A very naive way of working with TCP"
123360,130000," a socket is just not the right way to do that. And the article is basically goes over that and"
130000,136720," explains you why and also offer you the way how you should be working with a socket. Specifically,"
136720,141180," you need to close your sockets correctly. Otherwise, you're going to lose a lot of data"
141180,150760," in TCP. We're talking TCP. TCP is known to be a protocol that is reliable, unlike UDP. Like,"
150760,157760," it was specifically designed to not lose any data. Yet, if you use it incorrectly, you will lose some"
157760,164920," data when you try to close the sockets. It's just, it's such, honestly, it's such a foot gun."
164920,171040," And I'm actually extremely grateful for the person who wrote this article. So, what I want you to do"
171040,177760," today, I want you to read this article. So, we're going to be doing an article reading stream. And on top"
177760,184760," of that, this article contains a bunch of snippets, which while I was implementing my WebSocket implementation,"
184760,189760," I didn't really experiment with, but I want to actually do conduct some of these experiments,"
189760,194880," right? Some of the experiments, they're trying to send like a lot of data. And then on the other end,"
194880,201040," they quickly close and observe that not all the data was actually received, right? Even though it's TCP,"
201040,205840," you're not supposed to lose any data, you will still lose some data if you don't close things properly."
205840,213360," Yapping session. Yeah. So, we're turning into a yapping streamer. Right. So, tech yapping. Tech"
213360,222720," yapping. Let's fucking go. So, this post is about an obscure quarter of TCP network programming. A quarter,"
222720,228640," where almost everybody doesn't quite get what is going on. I used to think I understood it, but I"
228640,236720," found out last week that I didn't. So, I decided to trowel… What the fuck is this word? I never heard"
236720,244320," this word. It's an old word from 2009, apparently. I decided to trowel the web and consult the experts,"
244320,250960," promising them to write up their wisdom once and for all in hopes that this subject will be put to rest."
250960,258160," Honestly, that didn't help, right? Because as I was Googling actually this kind of problem,"
258160,263520," this kind of question pops up quite often. But to be fair, a lot of people just give the link to this"
263520,269840," specific article and the discussion usually kind of closes, right? So, I think that in this particular"
